股票代號,CB名稱,CB代號,目前股價,CB轉換價,折價幅度,到期日,餘額比例(%),發行規模(億)
4416,三圓三,44163,14.95,65.7,-77.25%,2027/09/30,95.59%,10
6873,泓德能源二,68732,69.0,215.4,-67.97%,2030/05/29,100%,30
1436,華友聯三,14363,38.8,114.3,-66.05%,2027/08/27,27.18%,6
6854,錼創科技一KY創,68541,92.9,248.3,-62.59%,2028/02/27,100%,8
2201,裕隆三,22013,28.8,75.0,-61.6%,2028/05/25,1.25%,70
6863,永道一KY,68631,112.0,290.1,-61.39%,2027/10/15,100%,10
1338,廣華二KY,13382,14.45,36.9,-60.84%,2028/12/01,100%,6
3207,耀勝一,32071,40.2,100.99,-60.19%,2027/03/25,57.04%,5
9906,欣巴巴三,99063,40.65,101.5,-59.95%,2028/02/27,100%,7
1438,三地開發一,14381,22.4,55.88,-59.91%,2029/12/19,100%,9.7
8927,北基七,89277,20.1,50.01,-59.81%,2027/08/16,100%,5.9
8478,東哥遊艇一,84781,144.0,353.7,-59.29%,2027/07/15,100%,15
3272,東碩三,32723,14.0,34.2,-59.06%,2029/03/07,96.23%,3
9958,世紀鋼七,99587,95.3,232.5,-59.01%,2027/10/28,100%,40
8467,波力三KY,84673,94.7,223.9,-57.7%,2027/05/31,93.15%,3.9
9958,世紀鋼八永,99588,95.3,223.8,-57.42%,2027/11/08,100%,20
8927,北基八,89278,20.1,46.67,-56.93%,2027/08/21,0.48%,5
5457,宣德三,54573,27.1,62.6,-56.71%,2027/03/06,100%,20
6552,易華電一,65521,25.6,58.8,-56.46%,2026/10/25,100%,5
1526,日馳一,15261,16.3,37.29,-56.29%,2026/09/19,100%,5
3548,兆利二,35482,80.4,183.7,-56.23%,2027/01/08,99.99%,8
1786,科妍三,17863,49.55,112.8,-56.07%,2028/08/01,100%,4
6546,正基一,65461,63.3,144.0,-56.04%,2027/06/05,0.38%,6
1436,華友聯四,14364,38.8,87.9,-55.86%,2028/03/18,98.67%,20
8104,錸寶二,81042,31.55,69.98,-54.92%,2027/01/11,13.98%,6
1909,榮成四,19094,11.0,23.9,-53.97%,2026/12/20,2.29%,7
6125,廣運五,61255,51.3,110.9,-53.74%,2027/06/21,14.67%,6
6645,金萬林一創,66451,12.95,27.87,-53.53%,2027/12/04,100%,0.7
9941,裕融二,99412,85.8,179.3,-52.15%,2028/11/20,100%,80
3322,建舜電五,33225,11.2,22.97,-51.24%,2027/09/02,76.6%,1.5
4190,佐登三KY,41903,25.95,53.1,-51.13%,2027/07/11,12.39%,7
3548,兆利三,35483,80.4,160.8,-50.0%,2030/02/25,100%,15
2104,國際中橡三,21043,10.65,21.2,-49.76%,2028/10/13,100%,35
8467,波力二KY,84672,94.7,183.6,-48.42%,2027/05/30,55.24%,2.1
4503,金雨一,45031,24.6,46.0,-46.52%,2029/05/13,100%,5
8488,吉源一KY,84881,9.86,18.4,-46.41%,2026/12/19,100%,3
2732,六角三,27323,65.0,121.0,-46.28%,2027/01/26,6.55%,6
6111,光聚晶電二,61112,36.15,67.0,-46.04%,2027/09/10,81.47%,3
3564,其陽二,35642,45.3,83.4,-45.68%,2027/09/03,100%,5
3483,力致四,34834,72.5,131.1,-44.7%,2027/05/22,100%,2
3346,麗清六,33466,20.6,36.5,-43.56%,2027/11/27,100%,3
4558,寶緯一,45581,16.9,29.8,-43.29%,2028/08/28,100%,3
4113,聯上五,41135,14.95,26.3,-43.16%,2030/10/27,100%,4
6616,特昇三KY,66163,8.26,14.5,-43.03%,2028/09/20,89.17%,1.2
6469,大樹三,64693,68.9,119.96,-42.56%,2028/07/28,100%,10
6219,富旺四,62194,12.35,21.17,-41.66%,2028/10/16,100%,6
4164,承業醫五,41645,26.55,45.3,-41.39%,2030/06/20,100%,9
6591,動力四KY,65914,42.8,72.88,-41.27%,2028/08/27,100%,2.5
5388,中磊七,53887,77.4,130.3,-40.6%,2028/12/06,100%,30
2528,皇普三,25283,20.8,34.9,-40.4%,2029/12/31,100%,6
2743,山富一,27431,60.8,101.9,-40.33%,2028/08/28,100%,3
1781,合世三,17813,10.75,18.0,-40.28%,2027/09/24,100%,2
3122,笙泉二,31222,25.55,42.3,-39.6%,2027/05/03,8.35%,2
1586,和勤四,15864,18.1,29.92,-39.51%,2026/08/30,100%,2
2530,華建三,25303,19.6,32.2,-39.13%,2028/06/23,100%,5
3013,晟銘電四,30134,87.2,143.2,-39.11%,2027/10/18,100%,5
8433,弘帆三,84333,56.1,91.1,-38.42%,2027/05/27,2.38%,4
1586,和勤五,15865,18.1,29.34,-38.31%,2026/08/31,96.73%,3
2528,皇普四,25284,20.8,33.7,-38.28%,2030/01/17,100%,5
8374,羅昇二,83742,81.7,132.2,-38.2%,2027/11/15,100%,5
6796,晉弘二,67962,61.7,99.6,-38.05%,2028/12/22,100%,2
8442,威宏二KY,84422,45.85,73.9,-37.96%,2026/10/19,90.38%,4
8171,天宇五,81715,20.2,32.4,-37.65%,2027/11/14,94.72%,2.5
8404,百和興業一KY,84041,16.45,26.0,-36.73%,2028/10/03,100%,10
3522,御嵿一,35221,11.55,18.2,-36.54%,2026/12/18,82.07%,1.5
2439,美律四,24394,82.1,128.9,-36.31%,2027/07/10,100%,25
8433,弘帆二,84332,56.1,87.5,-35.89%,2027/05/24,6.7%,1
1598,岱宇四,15984,20.6,31.9,-35.42%,2028/03/03,100%,2
2530,華建四,25304,19.6,30.2,-35.1%,2028/06/30,95.09%,8
4564,元翎一,45641,17.2,26.4,-34.85%,2026/09/26,100%,5.5
2439,美律五,24395,82.1,125.2,-34.42%,2027/07/22,100%,5
6835,圓裕一,68351,31.1,47.4,-34.39%,2027/11/01,100%,6
6269,台郡六,62696,66.3,101.0,-34.36%,2027/08/02,100%,10
8171,天宇四,81714,20.2,30.5,-33.77%,2027/11/12,100%,2.5
5245,智晶二,52452,23.3,35.0,-33.43%,2027/12/18,98.4%,3
6843,進典一,68431,38.9,58.4,-33.39%,2028/08/04,100%,3
6243,迅杰三,62433,42.2,63.3,-33.33%,2027/06/25,100%,3
8087,麗升能源二,80872,26.35,39.4,-33.12%,2028/05/02,99.58%,5
9935,慶豐富三,99353,20.2,30.2,-33.11%,2027/10/14,100%,3
1316,上曜六,13166,11.6,17.3,-32.95%,2027/12/27,100%,4
4549,桓達一,45491,100.5,149.8,-32.91%,2027/11/07,100%,5
8431,匯鑽科二,84312,46.05,68.0,-32.28%,2029/01/05,100%,3
4137,麗豐二KY,41372,87.2,128.3,-32.03%,2027/08/12,12.35%,11
8096,擎亞二,80962,108.0,158.0,-31.65%,2029/07/02,100%,8
8054,安國一,80541,83.7,122.4,-31.62%,2029/07/22,100%,4
6150,撼訊六,61506,61.3,89.3,-31.35%,2027/03/07,100%,4
5289,宜鼎二,52892,1500.0,2180.0,-31.19%,2029/07/01,100%,30
4764,雙鍵二,47642,233.0,336.8,-30.82%,2029/08/05,100%,5
8096,擎亞三,80963,108.0,155.0,-30.32%,2029/07/14,100%,5
9802,鈺齊六KY,98026,72.6,104.1,-30.26%,2027/11/15,99.98%,10
6706,惠特二,67062,123.0,176.0,-30.11%,2027/10/25,99.98%,5
1536,和大四,15364,50.1,71.47,-29.9%,2027/08/12,34.45%,15
5201,凱衛一,52011,26.7,37.8,-29.37%,2028/10/15,100%,1
3312,弘憶股一,33121,51.8,73.2,-29.23%,2027/06/25,99.99%,10
4749,新應材一,47491,755.0,1060.5,-28.81%,2029/05/28,100%,20
6269,台郡五,62695,66.3,93.0,-28.71%,2027/08/02,100%,20
1101,台泥一永,11011,24.3,34.0,-28.53%,2029/12/10,100%,80
2756,聯發國際一,27561,63.0,87.7,-28.16%,2027/05/30,37.8%,3
2233,宇隆一,22331,177.0,245.9,-28.02%,2029/01/23,99.98%,13
3715,定穎投控二,37152,114.0,158.0,-27.85%,2029/03/24,100%,10
6680,鑫創電子一,66801,51.6,71.4,-27.73%,2029/09/02,89.2%,3.5
4714,永捷八,47148,11.35,15.7,-27.71%,2029/05/04,100%,3
6873,泓德能源一,68731,69.0,95.4,-27.67%,2026/09/28,2.35%,10
5536,聖暉二,55362,854.0,1178.0,-27.5%,2029/08/04,100%,15
6862,三集瑞一KY,68621,139.5,191.9,-27.31%,2029/03/13,100%,10
6768,志強一KY,67681,65.6,90.1,-27.19%,2027/10/31,59.10%,10
6156,松上五,61565,21.0,28.8,-27.08%,2028/06/25,100%,3.5
4113,聯上六,41136,14.95,20.45,-26.89%,2031/03/20,100%,2
3257,虹冠電一,32571,50.2,68.5,-26.72%,2029/11/01,100%,5
1474,弘裕三,14743,10.05,13.7,-26.64%,2028/03/31,100%,3
3294,英濟三,32943,30.7,41.8,-26.56%,2029/06/18,100%,3
3313,斐成三,33133,11.55,15.7,-26.43%,2027/11/29,98.58%,4
6693,廣閎科一,66931,168.0,228.1,-26.35%,2029/07/24,100%,5
6890,來億一KY,68901,175.0,237.5,-26.32%,2028/11/28,96.16%,45
5536,聖暉三,55363,854.0,1158.0,-26.25%,2029/08/17,100%,15
6477,安集四,64774,36.75,49.8,-26.2%,2027/07/21,3.74%,10
8074,鉅橡六,80746,56.9,77.0,-26.1%,2029/05/14,100%,3
6546,正基二,65462,63.3,85.5,-25.96%,2029/06/09,100%,5
6890,來億二KY,68902,175.0,236.3,-25.94%,2028/12/10,90.42%,5
3032,偉訓一,30321,79.7,105.9,-24.74%,2028/11/13,100%,10
2903,遠東新E2永,140202,22.6,30.0,-24.67%,2029/08/08,99.95%,15
1609,大亞五,16095,38.0,50.4,-24.6%,2029/09/30,100%,20
3491,昇達科三,34913,1345.0,1778.5,-24.37%,2031/06/09,100%,12
6846,綠茵一,68461,57.7,75.8,-23.88%,2030/03/13,99.71%,3.5
6903,巨漢一,69031,313.5,406.6,-22.9%,2029/07/24,100%,5
8438,昶昕一,84381,70.3,90.8,-22.58%,2029/08/05,100%,3
2442,新美齊四,24424,19.7,25.3,-22.13%,2027/12/25,83.73%,6
6982,大井泵浦一,69821,48.25,61.9,-22.05%,2028/07/23,99.80%,3
6874,倍力一,68741,80.5,103.0,-21.84%,2027/11/04,100%,3
3032,偉訓二,30322,79.7,101.9,-21.79%,2030/11/25,100%,10
6117,迎廣一,61171,62.4,79.6,-21.61%,2027/05/27,40.16%,5
6846,綠茵二,68462,57.7,73.6,-21.6%,2030/03/25,99.69%,3.5
2442,新美齊三,24423,19.7,25.1,-21.51%,2027/11/29,74.79%,10
6220,岳豐十,622010,25.5,32.4,-21.3%,2029/06/10,100%,5
3518,柏騰一,35181,27.7,34.9,-20.63%,2027/08/15,100%,3
4722,國精化四,47224,211.0,264.2,-20.14%,2029/05/26,100%,10
5244,弘凱一,52441,35.15,44.0,-20.11%,2029/09/25,97.26%,5
5306,桂盟四,53064,95.2,118.8,-19.87%,2026/11/08,99.99%,10
6982,大井泵浦二,69822,48.25,60.1,-19.72%,2028/08/04,97.1%,2
6546,正基三,65463,63.3,78.8,-19.67%,2029/06/30,100%,2
6199,天品四,61994,92.3,114.8,-19.6%,2029/01/21,100%,3.5
3040,遠見一,30401,38.05,47.2,-19.39%,2028/06/30,69.56%,5
4438,廣越三,44383,60.5,75.0,-19.33%,2028/09/30,100%,8
5212,凌網一,52121,46.6,57.73,-19.28%,2029/10/15,100%,4
3362,先進光一,33621,202.0,249.8,-19.14%,2029/07/16,99.99%,12
3687,歐買尬三,36873,63.2,77.9,-18.87%,2028/10/03,99.95%,2
6223,旺矽六,62236,5040.0,6201.8,-18.73%,2031/06/15,100%,50
4772,台特化一,47721,261.0,320.3,-18.51%,2028/11/27,100%,20
8489,三貝德一,84891,22.8,27.9,-18.28%,2027/12/09,58.29%,3.330
3715,定穎投控一,37151,114.0,139.1,-18.04%,2029/01/21,100%,5
4123,晟德八,41238,32.1,39.1,-17.9%,2031/05/04,100%,15
4129,聯合五,41295,82.7,100.5,-17.71%,2030/05/29,99.99%,7
2247,汎德永業一,22471,226.0,273.1,-17.25%,2028/06/26,100%,10
3141,晶宏三,31413,77.7,93.6,-16.99%,2027/05/20,7.35%,8
6117,迎廣二,61172,62.4,75.1,-16.91%,2028/05/28,94.20%,5
5263,智崴五,52635,91.4,109.8,-16.76%,2027/03/04,49.38%,8
3691,碩禾三,36913,98.8,118.0,-16.27%,2027/08/30,100%,20
