代號,公司,法說日期
1219,福壽,2026/09/16
1301,台塑,2026/09/16
1307,三芳,2026/09/16
1319,東陽,2026/09/16
1477,聚陽,2026/09/16
1560,中砂,2026/09/16
1590,亞德客-KY,2026/09/16
1604,聲寶,2026/09/16
1734,杏輝,2026/09/16
1736,喬山,2026/09/16
1762,中化生,2026/09/16
2006,東和鋼鐵,2026/09/16
2301,光寶科,2026/09/16
2327,國巨*,2026/09/16
2353,宏碁,2026/09/16
2382,廣達,2026/09/16
2409,友達,2026/09/16
2474,可成,2026/09/16
2606,裕民,2026/09/16
2633,台灣高鐵,2026/09/16
2836,高雄銀,2026/09/16
2948,寶陞,2026/09/16
3017,奇鋐,2026/09/16
3035,智原,2026/09/16
3037,欣興,2026/09/16
3044,健鼎,2026/09/16
3324,雙鴻,2026/09/16
3363,上詮,2026/09/16
3515,華擎,2026/09/16
3529,力旺,2026/09/16
3611,鼎翰,2026/09/16
4105,東洋,2026/09/16
4142,國光生,2026/09/16
4442,竣邦-KY,2026/09/16
4532,瑞智,2026/09/16
4958,臻鼎-KY,2026/09/16
4971,IET-KY,2026/09/16
4991,環宇-KY,2026/09/16
5522,遠雄,2026/09/16
5903,全家,2026/09/16
6213,聯茂,2026/09/16
6261,久元,2026/09/16
6415,矽力*-KY,2026/09/16
6505,台塑化,2026/09/16
6556,勝品,2026/09/16
6620,漢達,2026/09/16
6669,緯穎,2026/09/16
6805,富世達,2026/09/16
6840,東研信超,2026/09/16
7769,鴻勁,2026/09/16
8150,南茂,2026/09/16
2239,英利-KY,2026/09/17
2493,揚博,2026/09/17
3444,利機,2026/09/17
3605,宏致,2026/09/17
4168,醣聯,2026/09/17
5520,力泰,2026/09/17
6870,騰雲,2026/09/17
6933,AMAX-KY,2026/09/17
7631,聚賢研發-創,2026/09/17
8131,福懋科,2026/09/17
9802,鈺齊-KY,2026/09/17
9942,茂順,2026/09/17
1324,地球,2026/09/18
2317,鴻海,2026/09/18
2885,元大金,2026/09/18
6906,現觀科,2026/09/18
1558,伸興,2026/09/21
1560,中砂,2026/09/21
2360,致茂,2026/09/21
2382,廣達,2026/09/21
6863,永道-KY,2026/09/21
1590,亞德客-KY,2026/09/22
1710,東聯,2026/09/22
2308,台達電,2026/09/22
2379,瑞昱,2026/09/22
2474,可成,2026/09/22
3016,嘉晶,2026/09/22
3017,奇鋐,2026/09/22
3031,佰鴻,2026/09/22
6510,精測,2026/09/22
8464,億豐,2026/09/22
2454,聯發科,2026/09/23
2536,宏普,2026/09/23
3324,雙鴻,2026/09/23
3443,創意,2026/09/23
3529,力旺,2026/09/23
4557,永新-KY,2026/09/23
4749,新應材,2026/09/23
5536,聖暉*,2026/09/23
6472,保瑞,2026/09/23
2356,英業達,2026/09/24
3563,牧德,2026/09/30
