股票代號,CB名稱,CB代號,進度狀態,主辦券商,發行量(億),轉換價格,掛牌日/進度日,備註
8936,國統五,89365,近期掛牌,台新證,6,55,2026/08/17,發行價110.35
5536,聖暉三,55363,近期掛牌,國票證,15,1158,2026/08/17,發行價117.05
4967,十銓五,49675,近期掛牌,永豐金證,30,213.5,2026/08/18,發行價124.55；限制承作
3512,皇龍二,35122,近期掛牌,台新證,6,20.5,2026/08/18,發行價102.75
3016,嘉晶六,30166,近期掛牌,凱基證,3.5,105,2026/08/18,發行價101；無額度
4973,廣穎電通一,49731,近期掛牌,台新證,5,169.6,2026/08/21,發行價100；無額度
3219,倚強科一,32191,近期掛牌,群益證,6,66.4,2026/08/25,發行價109.5；無額度
7631,聚賢研發一創,76311,近期掛牌,宏遠證,4,150.8,2026/08/19,發行價100.5；無額度
8936,國統六,89366,近期掛牌,台新證,6,53.8,2026/08/28,發行價102；無額度
3149,正達四,31494,近期掛牌,台新證,6.5,68.1,2026/08/31,發行價113.8；無額度
2303,聯電二,23032,近期掛牌,宏遠證,40,130.7,2026/09/03,底標不低於100
1560,中砂二,15602,近期掛牌,元大證,10,708.3,2026/09/03,底標不低於103
2464,盟立三,24643,近期掛牌,中信證,10,202.8,2026/09/07,底標不低於103；無額度；8/21-8/25競拍
8222,寶一一,82221,近期掛牌,台新證,4,42.3,2026/09/10,底標不低於101；8/26-8/28競拍
9935,慶豐富四,99354,申報生效,凱基證,3,106~110,2026/05/11,發行價100.5；無額度；7/22申請延長
1295,生合一,12951,申報生效,台新證,4,102~110,2026/05/26,暫定底標不低於100；無額度
8442,威宏四KY,84424,申報生效,富邦證,2,105.1~110,2026/05/26,發行價100~101；無額度；6/22申請延長
9958,世紀鋼九,99589,申報生效,永豐金證,5,1.06,2026/06/15,發行價100；無額度
3006,晶豪科二,30062,申報生效,凱基證,20,102~110,2026/06/17,暫定底標不低於102
3028,增你強六,30286,申報生效,富邦證,20,102~105,2026/06/24,暫定底標不低於100.5~110；無額度
2530,華建五,25305,申報生效,台新證,9,102~115,2026/06/25,底標不低於100；無額度
